language,filename,blank,comment,code,"http://cloc.sourceforge.net v 1.64  T=10.28 s (340.1 files/s, 34997.0 lines/s)"
Python,./test/lib/ansible_test/_internal/host_profiles.py,172,83,506
Python,./lib/ansible/vars/manager.py,119,131,501
Python,./lib/ansible/modules/lineinfile.py,91,48,499
Python,./test/units/module_utils/basic/test_argument_spec.py,109,107,495
YAML,./test/integration/targets/get_url/tasks/main.yml,97,27,494
Python,./test/support/integration/plugins/modules/ec2_vpc_subnet.py,100,12,492
Python,./lib/ansible/modules/stat.py,41,29,490
Python,./test/units/playbook/test_base.py,108,36,486
Python,./lib/ansible/galaxy/collection/concrete_artifact_manager.py,100,81,480
Python,./lib/ansible/module_utils/facts/hardware/linux.py,139,252,478
Python,./test/lib/ansible_test/_internal/target.py,195,53,477
Python,./lib/ansible/modules/group.py,110,78,474
Python,./test/units/module_utils/facts/hardware/linux_data.py,14,145,474
Python,./lib/ansible/module_utils/distro/_distro.py,268,677,470
Python,./lib/ansible/plugins/connection/winrm.py,98,186,467
Python,./lib/ansible/modules/systemd.py,68,46,455
Python,./lib/ansible/plugins/filter/core.py,132,60,454
Python,./test/units/module_utils/facts/test_facts.py,97,99,450
YAML,./test/integration/targets/ansible-galaxy-collection/tasks/install.yml,80,35,449
Python,./test/integration/targets/var_precedence/ansible-var-precedence-check.py,81,14,449
Python,./lib/ansible/modules/package_facts.py,84,20,448
YAML,./test/integration/targets/command_shell/tasks/main.yml,100,40,447
Python,./lib/ansible/modules/find.py,65,23,446
Python,./lib/ansible/playbook/role/__init__.py,123,95,445
Python,./lib/ansible/module_utils/compat/_selectors2.py,117,93,445
YAML,./test/integration/targets/pip/tasks/pip.yml,106,51,444
Python,./test/support/integration/plugins/modules/ec2_vpc_net.py,64,19,441
Python,./test/support/integration/plugins/module_utils/ec2.py,129,190,439
Python,./lib/ansible/plugins/connection/psrp.py,95,364,438
Python,./test/lib/ansible_test/_internal/cli/environments.py,117,27,436
Python,./lib/ansible/config/manager.py,120,67,435
Python,./test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/module_utils/network/common/utils.py,121,131,434
Python,./lib/ansible/executor/play_iterator.py,82,91,430
YAML,./test/integration/targets/gathering_facts/test_gathering_facts.yml,49,45,426
Python,./test/units/plugins/lookup/test_password.py,96,48,424
Python,./lib/ansible/cli/__init__.py,112,108,423
Python,./test/units/module_utils/facts/test_collector.py,101,42,420
Python,./test/units/plugins/strategy/test_strategy.py,108,36,417
Python,./lib/ansible/plugins/callback/__init__.py,117,82,416
PowerShell,./test/support/windows-integration/plugins/modules/setup.ps1,77,29,410
Python,./lib/ansible/inventory/manager.py,122,127,402
C#,./lib/ansible/module_utils/csharp/Ansible.AccessToken.cs,62,1,397
YAML,./test/integration/targets/apt/tasks/apt.yml,92,22,395
Python,./test/support/integration/plugins/modules/zypper.py,85,61,394
Python,./test/support/integration/plugins/module_utils/network/common/utils.py,121,130,392
PowerShell,./test/support/windows-integration/plugins/modules/win_regedit.ps1,57,47,391
Python,./test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/filter/network.py,106,38,387
Python,./lib/ansible/modules/apt_key.py,93,43,383
PowerShell,./test/integration/targets/module_utils_Ansible.ModuleUtils.WebRequest/library/web_request_test.ps1,85,5,383
Python,./test/support/integration/plugins/module_utils/aws/waiters.py,21,2,382
C#,./lib/ansible/module_utils/csharp/Ansible.Process.cs,58,25,378
Python,./lib/ansible/cli/console.py,84,52,373
YAML,./test/integration/targets/argspec/tasks/main.yml,76,0,372
YAML,./test/integration/targets/file/tasks/state_link.yml,71,47,371
Python,./test/units/plugins/connection/test_winrm.py,52,20,367
Python,./test/units/module_utils/facts/test_ansible_collector.py,122,39,363
Python,./lib/ansible/plugins/action/reboot.py,75,28,362
Python,./lib/ansible/utils/display.py,99,74,361
Python,./lib/ansible/cli/config.py,95,40,359
Python,./test/units/executor/test_task_executor.py,90,24,359
Python,./test/lib/ansible_test/_internal/core_ci.py,120,29,358
Python,./test/lib/ansible_test/_internal/cli/compat.py,90,39,353
PowerShell,./test/integration/targets/module_utils_Ansible.AccessToken/library/ansible_access_token_tests.ps1,54,7,346
Python,./test/units/module_utils/facts/test_collectors.py,90,70,346
Python,./lib/ansible/playbook/task.py,87,66,342
YAML,./test/integration/targets/collections/posix.yml,61,42,340
Python,./test/lib/ansible_test/_internal/cli/argparsing/parsers.py,155,88,338
Python,./test/units/parsing/vault/test_vault_editor.py,148,35,338
Python,./lib/ansible/plugins/action/copy.py,103,159,337
Python,./test/support/network-integration/collections/ansible_collections/ansible/netcommon/plugins/module_utils/network/common/config.py,90,48,335
Python,./lib/ansible/modules/subversion.py,42,17,334
Python,./test/support/network-integration/collections/ansible_collections/vyos/vyos/plugins/module_utils/network/vyos/config/lldp_interfaces/lldp_interfaces.py,49,56,333
