module,revisions,code
lib\ansible\utils\encrypt.py,8,184
changelogs\changelog.yaml,8,2
test\units\plugins\connection\test_ssh.py,8,527
lib\ansible\utils\plugin_docs.py,8,189
test\integration\targets\file\tasks\main.yml,8,672
lib\ansible\utils\collection_loader\_collection_config.py,8,71
hacking\build_library\build_ansible\command_plugins\docs_build.py,8,130
test\lib\ansible_test\_internal\commands\coverage\combine.py,8,230
lib\ansible\errors\__init__.py,8,238
lib\ansible\module_utils\facts\hardware\linux.py,8,478
docs\docsite\sphinx_conf\all_conf.py,8,83
lib\ansible\plugins\doc_fragments\shell_common.py,8,4
test\units\cli\test_galaxy.py,8,1000
test\integration\targets\file\tasks\state_link.yml,8,371
lib\ansible\cli\inventory.py,8,301
test\units\galaxy\test_api.py,8,952
.github\ISSUE_TEMPLATE\documentation_report.yml,8,154
lib\ansible\plugins\lookup\first_found.py,8,66
test\lib\ansible_test\_internal\ci\azp.py,8,165
test\lib\ansible_test\_internal\test.py,8,317
test\lib\ansible_test\_internal\commands\integration\__init__.py,8,668
changelogs\fragments\ansible-test-code-cleanup.yml,7,3
test\integration\targets\command_shell\tasks\main.yml,7,447
lib\ansible\modules\tempfile.py,7,89
test\integration\targets\collections\posix.yml,7,340
lib\ansible\plugins\inventory\script.py,7,138
test\integration\targets\ansible-galaxy-collection\vars\main.yml,7,134
test\lib\ansible_test\_internal\payload.py,7,84
lib\ansible\modules\import_playbook.py,7,60
lib\ansible\modules\debug.py,7,86
test\utils\shippable\windows.sh,7,62
lib\ansible\playbook\helpers.py,7,242
lib\ansible\modules\rpm_key.py,7,197
lib\ansible\plugins\action\gather_facts.py,7,102
lib\ansible\modules\reboot.py,7,121
lib\ansible\plugins\shell\powershell.py,7,206
lib\ansible\modules\pause.py,7,107
lib\ansible\plugins\action\template.py,7,137
lib\ansible\playbook\included_file.py,7,162
lib\ansible\plugins\lookup\unvault.py,7,26
lib\ansible\playbook\play_context.py,7,214
lib\ansible\modules\debconf.py,7,169
test\integration\targets\ansible-doc\test.yml,7,126
test\integration\targets\gathering_facts\runme.sh,7,11
lib\ansible\modules\template.py,7,94
test\units\modules\test_iptables.py,7,1025
test\integration\targets\config\runme.sh,7,19
lib\ansible\modules\replace.py,7,269
test\integration\targets\blocks\runme.sh,7,79
test\lib\ansible_test\_internal\containers.py,7,599
lib\ansible\plugins\connection\local.py,7,138
test\integration\targets\template\tasks\main.yml,7,576
lib\ansible\plugins\action\pause.py,7,196
lib\ansible\plugins\lookup\url.py,7,47
lib\ansible\modules\fail.py,7,55
lib\ansible\cli\config.py,7,359
lib\ansible\modules\group_by.py,7,76
lib\ansible\modules\ping.py,7,67
lib\ansible\modules\include_vars.py,7,177
lib\ansible\modules\validate_argument_spec.py,7,101
test\units\cli\test_adhoc.py,7,80
lib\ansible\plugins\lookup\sequence.py,7,132
test\units\module_utils\basic\test_argument_spec.py,7,495
test\integration\targets\async\tasks\main.yml,7,237
lib\ansible\cli\adhoc.py,7,136
lib\ansible\parsing\mod_args.py,7,202
test\integration\targets\copy\tasks\main.yml,7,98
test\units\plugins\action\test_gather_facts.py,6,58
hacking\tests\gen_distribution_version_testcase.py,6,79
.github\ISSUE_TEMPLATE\feature_request.yml,6,131
lib\ansible\playbook\play.py,6,260
test\lib\ansible_test\_internal\ci\local.py,6,140
lib\ansible\playbook\block.py,6,325
lib\ansible\modules\group.py,6,474
test\lib\ansible_test\_internal\commands\coverage\xml.py,6,138
lib\ansible\module_utils\common\validation.py,6,274
lib\ansible\modules\dpkg_selections.py,6,66
lib\ansible\plugins\inventory\toml.py,6,190
lib\ansible\modules\shell.py,6,189
lib\ansible\cli\pull.py,6,276
lib\ansible\plugins\inventory\constructed.py,6,114
test\lib\ansible_test\_util\controller\sanity\validate-modules\validate_modules\schema.py,6,511
lib\ansible\utils\collection_loader\_collection_meta.py,6,14
