module,revisions,code
test\integration\targets\lookup_subelements\tasks\main.yml,3,194
test\integration\targets\prepare_http_tests\tasks\main.yml,3,25
lib\ansible\plugins\lookup\dict.py,3,18
test\lib\ansible_test\_internal\connections.py,3,176
.azure-pipelines\scripts\aggregate-coverage.sh,3,10
test\lib\ansible_test\_internal\diff.py,3,160
test\integration\targets\inventory_constructed\runme.sh,3,37
test\integration\targets\unarchive\handlers\main.yml,3,3
lib\ansible\plugins\action\script.py,3,79
lib\ansible\module_utils\facts\hardware\openbsd.py,3,102
lib\ansible\plugins\action\uri.py,3,68
test\lib\ansible_test\_internal\commands\integration\cloud\httptester.py,3,65
test\integration\targets\template_jinja2_non_native\46169.yml,2,24
test\units\module_utils\basic\test_get_file_attributes.py,2,55
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\collect_a_list_of_the_datacenters.task.yaml,2,3
test\support\network-integration\collections\ansible_collections\vyos\vyos\plugins\action\vyos.py,2,95
test\units\module_utils\test_distro.py,2,12
test\units\cli\galaxy\test_display_collection.py,2,26
test\units\playbook\test_play.py,2,201
test\units\template\test_native_concat.py,2,13
test\integration\targets\tags\runme.sh,2,39
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Collect_information_about_a_specific_VM.task.yaml,2,4
test\lib\ansible_test\_internal\commands\integration\posix.py,2,34
lib\ansible\plugins\shell\cmd.py,2,29
test\lib\ansible_test\_internal\cli\commands\sanity.py,2,96
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\combine.py,2,52
test\units\modules\test_unarchive.py,2,67
test\integration\targets\debug\runme.sh,2,14
test\integration\targets\setup_paramiko\install.yml,2,19
test\lib\ansible_test\_util\controller\sanity\pylint\plugins\string_format.py,2,62
test\integration\targets\add_host\tasks\main.yml,2,115
test\integration\targets\network_cli\passworded_user.yml,2,12
test\lib\ansible_test\_internal\classification\common.py,2,16
test\lib\ansible_test\_util\target\common\__init__.py,2,0
test\integration\targets\infra\runme.sh,2,24
test\integration\targets\collections\import_collection_pb.yml,2,14
test\integration\targets\inventory_constructed\keyed_group_trailing_separator.yml,2,5
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\generate.py,2,112
test\lib\ansible_test\_internal\commands\shell\__init__.py,2,62
test\lib\ansible_test\_util\controller\sanity\code-smell\no-illegal-filenames.py,2,62
test\units\module_utils\facts\test_collector.py,2,420
test\lib\ansible_test\_util\controller\sanity\code-smell\empty-init.py,2,9
test\units\playbook\test_collectionsearch.py,2,44
test\integration\targets\dnf\tasks\repo.yml,2,250
test\lib\ansible_test\_internal\commands\integration\cloud\cloudscale.py,2,36
test\integration\targets\expect\files\test_command.py,2,17
test\integration\targets\unarchive\tasks\test_tar_gz.yml,2,29
test\integration\targets\lookup_items\tasks\main.yml,2,17
test\integration\targets\ansible-galaxy-collection-scm\vars\main.yml,2,5
lib\ansible\inventory\host.py,2,106
test\lib\ansible_test\_util\controller\sanity\code-smell\no-dict-iterkeys.py,2,13
lib\ansible\parsing\utils\yaml.py,2,52
test\lib\ansible_test\_internal\commands\integration\cloud\foreman.py,2,55
test\integration\targets\ansible-galaxy-collection-scm\tasks\multi_collection_repo_all.yml,2,36
lib\ansible\executor\task_result.py,2,105
test\integration\targets\ansible-test\collection-tests\git-common.bash,2,42
test\lib\ansible_test\_data\playbooks\windows_hosts_restore.yml,2,7
test\integration\targets\jinja2_native_types\nested_undefined.yml,2,20
test\integration\targets\loops\tasks\main.yml,2,332
test\integration\targets\prepare_http_tests\library\httptester_kinit.py,2,96
test\integration\targets\setup_epel\tasks\main.yml,2,5
test\integration\targets\blockinfile\tasks\file_without_trailing_newline.yml,2,31
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Dedicate_one_core_to_the_VM.task.yaml,2,5
test\integration\targets\collections\collection_root_user\ansible_collections\testns\testcoll\plugins\modules\uses_collection_redirected_mu.py,2,14
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Build_a_list_of_all_the_folders.task.yaml,2,3
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Look_up_the_VM_called_test_vm1_in_the_inventory.task.yaml,2,5
lib\ansible\plugins\action\command.py,2,17
hacking\report.py,2,162
test\integration\targets\collections_relative_imports\windows.yml,2,17
test\integration\targets\service_facts\tasks\main.yml,2,18
test\lib\ansible_test\_internal\commands\env\__init__.py,2,144
examples\scripts\my_test.py,2,77
lib\ansible\plugins\lookup\items.py,2,9
test\lib\ansible_test\_internal\commands\integration\windows.py,2,58
test\integration\targets\unarchive\tasks\test_zip.yml,2,49
test\integration\targets\lookup_together\tasks\main.yml,2,24
test\integration\targets\module_defaults\runme.sh,2,5
hacking\build_library\build_ansible\command_plugins\dump_config.py,2,56
test\integration\targets\inventory_constructed\keyed_group_list_default_value.yml,2,5
test\integration\targets\ansible-doc\collections\ansible_collections\testns\testcol\plugins\inventory\statichost.py,2,24
test\integration\targets\jinja2_native_types\test_hostvars.yml,2,9
test\integration\targets\incidental_setup_docker\vars\Fedora.yml,2,4
test\integration\targets\systemd\vars\Debian.yml,2,3
lib\ansible\plugins\__init__.py,2,53
test\sanity\code-smell\required-and-default-attributes.py,2,13
test\integration\targets\lookup_ini\test_errors.yml,2,53
test\units\module_utils\urls\test_fetch_url.py,2,152
test\units\module_utils\facts\test_ansible_collector.py,2,363
test\integration\targets\raw\tasks\main.yml,2,79
test\lib\ansible_test\_internal\commands\integration\cloud\hcloud.py,2,66
test\utils\shippable\incidental\linux.sh,2,8
test\integration\targets\callback_default\test_non_lockstep.yml,2,7
test\integration\targets\ansible-test\collection-tests\unsupported-directory.sh,2,15
lib\ansible\collections\__init__.py,2,14
test\integration\targets\blockinfile\tasks\create_file.yml,2,29
changelogs\fragments\75828-remove-deprecated-set_available_variables.yml,2,2
test\integration\targets\inventory_constructed\keyed_group_default_value.yml,2,5
test\integration\targets\module_defaults\collections\ansible_collections\testns\testcoll\meta\runtime.yml,2,36
test\integration\targets\lookup_ini\test_ini.yml,2,4
test\integration\targets\fetch\test_unreadable_with_stat.yml,2,28
test\integration\targets\module_utils\library\test_failure.py,2,8
test\integration\targets\yum\tasks\proxy.yml,2,150
test\integration\targets\network_cli\teardown.yml,2,13
hacking\build-ansible.py,2,58
test\integration\targets\ansible-test-docker\collection-tests\docker.sh,2,9
test\integration\targets\blockinfile\tasks\insertbefore.yml,2,34
test\lib\ansible_test\_internal\content_config.py,2,96
test\lib\ansible_test\_internal\commands\sanity\pslint.py,2,85
test\units\module_utils\test_api.py,2,83
test\integration\targets\ansible-test\ansible_collections\ns\col\meta\runtime.yml,2,5
test\units\module_utils\common\test_sys_info.py,2,103
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_power_information.task.yaml,2,4
test\integration\targets\network_cli\setup.yml,2,13
test\integration\targets\ansible-test\ansible_collections\ns\col\plugins\lookup\vendor1.py,2,23
test\integration\targets\ansible-galaxy-collection-scm\templates\name_without_type.yml,2,2
lib\ansible\module_utils\service.py,2,168
test\integration\targets\jinja2_native_types\test_casting.yml,2,30
test\lib\ansible_test\_util\controller\sanity\code-smell\use-compat-six.py,2,13
test\integration\targets\collections\collection_root_user\ansible_collections\testns\testcoll\plugins\modules\uses_leaf_mu_module_import_from.py,2,21
test\units\utils\collection_loader\fixtures\collections\ansible_collections\testns\testcoll\plugins\action\my_action.py,2,5
test\lib\ansible_test\_util\controller\sanity\code-smell\no-assert.py,2,15
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Increase_the_memory_of_a_VM.task.yaml,2,5
test\integration\targets\assemble\tasks\main.yml,2,110
test\integration\targets\incidental_ios_file\tasks\cli.yaml,2,15
lib\ansible\plugins\action\normal.py,2,21
test\units\module_utils\common\parameters\test_check_arguments.py,2,26
test\integration\targets\fetch\setup_unreadable_test.yml,2,30
lib\ansible\plugins\doc_fragments\connection_pipelining.py,2,4
test\units\module_utils\basic\test_platform_distribution.py,2,107
test\integration\targets\ansible-galaxy-collection-scm\templates\source_and_name_and_type.yml,2,4
test\integration\targets\lookup_dict\tasks\main.yml,2,49
test\lib\ansible_test\_internal\commands\coverage\analyze\__init__.py,2,9
test\integration\targets\module_utils\library\test_override.py,2,7
test\integration\targets\user\tasks\test_expires_min_max.yml,2,60
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\List_the_SCSI_adapter_of_a_given_VM.task.yaml,2,4
test\support\integration\plugins\modules\sefcontext.py,2,249
test\integration\targets\apt_repository\tasks\apt.yml,2,168
test\integration\targets\incidental_setup_docker\vars\Suse.yml,2,2
lib\ansible\plugins\action\assemble.py,2,103
test\integration\targets\file\handlers\main.yml,2,19
test\support\integration\plugins\inventory\foreman.py,2,221
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\expand.py,2,34
test\integration\targets\lineinfile\tasks\test_string02.yml,2,135
test\integration\targets\module_utils\module_utils_test_no_log.yml,2,11
test\integration\targets\collections\collection_root_user\ansible_collections\testns\testbroken\plugins\filter\broken_filter.py,2,8
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Change_vm-tools_upgrade_policy_to_MANUAL.task.yaml,2,5
test\lib\ansible_test\_data\requirements\sanity.pslint.ps1,2,30
test\lib\ansible_test\_util\controller\sanity\code-smell\symlinks.py,2,20
test\integration\targets\templating_lookups\runme.yml,2,4
test\integration\targets\incidental_setup_docker\tasks\Suse.yml,2,7
lib\ansible\module_utils\json_utils.py,2,36
lib\ansible\module_utils\facts\hardware\darwin.py,2,93
test\integration\targets\collections\vars_plugin_tests.sh,2,49
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\missing.py,2,84
test\units\module_utils\facts\system\distribution\test_distribution_version.py,2,95
test\integration\targets\apt\tasks\main.yml,2,18
test\integration\targets\entry_points\runme.sh,2,22
test\integration\targets\ansible-galaxy-collection-scm\templates\git_prefix_name.yml,2,2
test\units\cli\arguments\test_optparse_helpers.py,2,27
test\integration\targets\ansible-vault\runme.sh,2,288
test\integration\targets\ansible-test\ansible_collections\ns\col\plugins\lookup\vendor2.py,2,23
docs\docsite\.templates\breadcrumbs.html,2,44
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Retrieve_the_disk_information_from_the_VM.task.yaml,2,4
lib\ansible\module_utils\common\process.py,2,34
test\lib\ansible_test\_util\controller\sanity\code-smell\no-main-display.py,2,13
test\sanity\code-smell\docs-build.json,2,5
test\integration\targets\git\handlers\main.yml,2,7
test\units\module_utils\facts\hardware\test_sunos_get_uptime_facts.py,2,14
changelogs\fragments\75825-75826-get_url-uri-remove-deprecated-thirsty-alias.yml,2,2
test\units\module_utils\common\arg_spec\test_aliases.py,2,102
test\integration\targets\incidental_inventory_foreman\runme.sh,2,36
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Add_a_floppy_disk_drive.task.yaml,2,5
lib\ansible\module_utils\common\locale.py,2,39
test\integration\targets\dnf\tasks\cacheonly.yml,2,14
test\units\module_utils\basic\test_no_log.py,2,138
test\sanity\code-smell\release-names.py,2,13
test\integration\targets\incidental_setup_docker\handlers\main.yml,2,13
test\units\utils\test_unsafe_proxy.py,2,78
test\integration\targets\incidental_vyos_lldp_interfaces\tasks\main.yaml,2,2
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Build_a_list_of_all_the_clusters.task.yaml,2,3
test\integration\targets\inventory_constructed\constructed.yml,2,17
test\integration\targets\incidental_inventory_foreman\inspect_cache.yml,2,31
test\integration\targets\unarchive\tasks\test_owner_group.yml,2,132
test\integration\targets\incidental_setup_docker\defaults\main.yml,2,16
changelogs\fragments\76353-fix-check-mode-skipping.yaml,2,4
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_network_routes_information.task.yaml,2,4
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_identity_information.task.yaml,2,4
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Create_a_new_disk.task.yaml,2,7
test\lib\ansible_test\_util\controller\sanity\code-smell\metaclass-boilerplate.py,2,27
test\integration\targets\subversion\runme.yml,2,14
test\lib\ansible_test\_internal\commands\sanity\pep8.py,2,81
test\integration\targets\test_mathstuff\tasks\main.yml,2,24
lib\ansible\plugins\lookup\random_choice.py,2,18
test\integration\targets\incidental_vyos_config\tasks\main.yaml,2,3
test\units\executor\test_interpreter_discovery.py,2,55
test\lib\ansible_test\_util\controller\sanity\code-smell\line-endings.py,2,10
test\integration\targets\ansible-galaxy-collection-scm\templates\source_only.yml,2,2
test\integration\targets\jinja_plugins\tasks\main.yml,2,22
lib\ansible\module_utils\facts\packages.py,2,54
test\integration\targets\inventory\1\2\inventory.yml,2,3
lib\ansible\module_utils\six\__init__.py,2,688
test\lib\ansible_test\_internal\cli\parsers\helpers.py,2,38
test\integration\targets\collections\test_bypass_host_loop.yml,2,17
test\integration\targets\lookup_sequence\tasks\main.yml,2,168
lib\ansible\modules\_include.py,2,71
test\integration\targets\gathering_facts\test_prevent_injection.yml,2,13
test\integration\targets\blockinfile\tasks\validate.yml,2,26
test\support\integration\plugins\module_utils\aws\core.py,2,176
hacking\build_library\build_ansible\command_plugins\collection_meta.py,2,48
test\integration\targets\ansible-galaxy-collection-scm\tasks\multi_collection_repo_individual.yml,2,12
test\integration\targets\lookup_inventory_hostnames\main.yml,2,22
lib\ansible\plugins\lookup\nested.py,2,34
lib\ansible\plugins\terminal\__init__.py,2,48
lib\ansible\executor\powershell\module_wrapper.ps1,2,128
test\integration\targets\network_cli\runme.sh,2,16
test\integration\targets\binary_modules\Makefile,2,10
test\integration\targets\ansible-runner\tasks\adhoc_example1.yml,2,11
lib\ansible\plugins\doc_fragments\validate.py,2,14
test\integration\targets\remote_tmp\playbook.yml,2,50
test\lib\ansible_test\_data\playbooks\windows_hosts_prepare.yml,2,7
test\lib\ansible_test\_internal\inventory.py,2,124
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Collect_the_hardware_information.task.yaml,2,4
test\integration\targets\inventory_constructed\no_leading_separator_constructed.yml,2,18
test\integration\targets\unarchive\tasks\test_download.yml,2,42
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Retrieve_details_about_the_first_cluster.task.yaml,2,4
test\integration\targets\module_utils\module_utils_basic_setcwd.yml,2,24
test\integration\targets\user\tasks\test_ssh_key_passphrase.yml,2,25
lib\ansible\plugins\action\shell.py,2,16
lib\ansible\plugins\shell\sh.py,2,36
test\integration\targets\set_stats\test_simple.yml,2,72
test\integration\targets\ansible-galaxy-collection\tasks\upgrade.yml,2,225
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\__init__.py,2,97
test\lib\ansible_test\_internal\commands\integration\cloud\vultr.py,2,35
test\units\plugins\connection\test_connection.py,2,117
test\lib\ansible_test\_internal\commands\sanity\yamllint.py,2,89
test\integration\targets\incidental_ios_file\tasks\main.yaml,2,2
lib\ansible\utils\ssh_functions.py,2,29
test\units\modules\test_apt_key.py,2,24
test\lib\ansible_test\_util\controller\sanity\code-smell\future-import-boilerplate.py,2,28
test\lib\ansible_test\_util\controller\sanity\code-smell\use-argspec-type-path.py,2,13
lib\ansible\plugins\lookup\list.py,2,13
test\integration\targets\systemd\handlers\main.yml,2,11
test\integration\targets\lookup_first_found\tasks\main.yml,2,72
test\integration\targets\incidental_setup_docker\vars\Debian.yml,2,8
changelogs\fragments\75823-cli-remove-deprecated-verbosity-before-sub-cmd.yml,2,2
test\integration\targets\lookup_ini\runme.sh,2,3
test\lib\ansible_test\_internal\encoding.py,2,20
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_VM_storage_policy.task.yaml,2,4
test\units\plugins\connection\test_paramiko.py,2,25
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Create_a_SATA_adapter_at_PCI_slot_34.task.yaml,2,5
test\integration\targets\ansible-galaxy-collection-scm\templates\name_and_type.yml,2,3
test\support\network-integration\collections\ansible_collections\cisco\ios\plugins\action\ios.py,2,99
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Change_vm-tools_upgrade_policy_to_UPGRADE_AT_POWER_CYCLE.task.yaml,2,5
test\lib\ansible_test\_internal\python_requirements.py,2,308
test\integration\targets\facts_d\tasks\main.yml,2,37
test\units\plugins\shell\test_cmd.py,2,15
test\integration\targets\pause\test-pause.py,2,222
test\integration\targets\ansible-vault\single_vault_as_string.yml,2,101
test\integration\targets\systemd\vars\default.yml,2,3
test\integration\targets\setup_rpm_repo\library\create_repo.py,2,89
test\lib\ansible_test\_internal\commands\sanity\shellcheck.py,2,78
test\integration\targets\inventory_constructed\invs\2\constructed.yml,2,7
test\integration\targets\lookup_indexed_items\tasks\main.yml,2,27
test\integration\targets\jinja2_native_types\runme.sh,2,8
test\units\module_utils\common\arg_spec\test_sub_spec.py,2,87
test\lib\ansible_test\_internal\commands\sanity\validate_modules.py,2,108
lib\ansible\module_utils\facts\virtual\netbsd.py,2,38
test\units\module_utils\basic\test_imports.py,2,94
test\units\module_utils\common\parameters\test_list_deprecations.py,2,33
test\lib\ansible_test\_internal\cli\completers.py,2,16
test\support\integration\plugins\modules\timezone.py,2,564
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Attach_a_VM_to_a_dvswitch.task.yaml,2,9
test\lib\ansible_test\_util\controller\sanity\code-smell\no-dict-itervalues.py,2,13
test\integration\targets\incidental_vyos_config\tasks\cli.yaml,2,23
test\integration\targets\roles_arg_spec\roles\a\meta\main.yml,2,10
test\lib\ansible_test\_internal\commands\coverage\analyze\targets\filter.py,2,78
test\units\template\test_templar.py,2,323
test\lib\ansible_test\_util\target\setup\requirements.py,2,158
test\lib\ansible_test\_util\controller\sanity\code-smell\no-unicode-literals.py,2,13
test\sanity\code-smell\obsolete-files.py,2,9
test\lib\ansible_test\_internal\commands\integration\cloud\acme.py,2,54
test\integration\targets\config\lookup_plugins\types.py,2,10
test\integration\targets\var_templating\runme.sh,2,7
test\integration\targets\setup_remote_tmp_dir\handlers\main.yml,2,6
lib\ansible\vars\clean.py,2,100
lib\ansible\module_utils\errors.py,2,43
test\integration\targets\blockinfile\tasks\block_without_trailing_newline.yml,2,27
test\integration\targets\user\vars\main.yml,2,11
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Build_a_list_of_all_the_folders_with_the_type_VIRTUAL_MACHINE_and_called_vm.task.yaml,2,6
test\lib\ansible_test\_internal\compat\yaml.py,2,16
hacking\test-module.py,2,194
test\integration\targets\ansible-test\runme.sh,2,15
examples\play.yml,2,129
test\lib\ansible_test\_internal\commands\integration\cloud\vcenter.py,2,103
test\lib\ansible_test\_data\playbooks\posix_hosts_prepare.yml,2,9
test\units\galaxy\test_role_install.py,2,110
test\integration\targets\module_defaults\test_defaults.yml,2,102
test\integration\targets\plugin_config_for_inventory\test_inventory.py,2,69
lib\ansible\plugins\lookup\indexed_items.py,2,15
test\integration\targets\incidental_vyos_config\tasks\cli_config.yaml,2,16
test\integration\targets\collections\collection_root_user\ansible_collections\testns\testcoll\roles\common_handlers\handlers\main.yml,2,12
test\integration\targets\template\72615.yml,2,16
test\lib\ansible_test\_util\controller\sanity\pylint\plugins\deprecated.py,2,208
test\units\utils\display\test_warning.py,2,26
test\lib\ansible_test\_util\controller\sanity\pylint\plugins\unwanted.py,2,144
lib\ansible\module_utils\facts\ansible_collector.py,2,88
test\integration\targets\yum\tasks\repo.yml,2,597
test\integration\targets\incidental_inventory_docker_swarm\runme.sh,2,15
test\utils\shippable\incidental\cloud.sh,2,26
test\integration\targets\service\tasks\main.yml,2,51
test\lib\ansible_test\_data\playbooks\windows_hosts_prepare.ps1,2,21
test\integration\targets\var_precedence\ansible-var-precedence-check.py,2,449
test\units\module_utils\facts\system\distribution\fixtures\amazon_linux_2.json,2,39
test\integration\targets\gathering_facts\test_module_defaults.yml,2,102
examples\scripts\my_test_info.py,2,70
test\sanity\code-smell\ansible-test-future-boilerplate.py,2,37
test\integration\targets\uri\tasks\use_gssapi.yml,2,55
test\lib\ansible_test\_util\controller\tools\sslcheck.py,2,13
test\integration\targets\async\library\async_test.py,2,34
test\units\module_utils\basic\test_heuristic_log_sanitize.py,2,49
test\lib\ansible_test\_internal\http.py,2,88
test\lib\ansible_test\_internal\cli\parsers\__init__.py,2,188
test\integration\targets\playbook\timeout.yml,2,11
test\support\integration\plugins\module_utils\docker\common.py,2,769
test\lib\ansible_test\_util\controller\sanity\code-smell\no-basestring.py,2,13
lib\ansible\plugins\callback\minimal.py,2,56
test\units\modules\test_pip.py,2,26
test\lib\ansible_test\_internal\cli\parsers\host_config_parsers.py,2,185
test\lib\ansible_test\_internal\commands\sanity\ansible_doc.py,2,100
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Upgrade_the_VM_hardware_version.task.yaml,2,6
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_network_interfaces_information.task.yaml,2,4
test\support\integration\plugins\modules\htpasswd.py,2,150
test\integration\targets\blockinfile\tasks\preserve_line_endings.yml,2,18
test\units\plugins\become\test_su.py,2,17
test\units\module_utils\basic\test_selinux.py,2,124
test\lib\ansible_test\_internal\completion.py,2,149
test\integration\targets\includes\runme.sh,2,9
test\lib\ansible_test\_util\controller\sanity\code-smell\no-get-exception.py,2,17
test\integration\targets\lookup_vars\tasks\main.yml,2,45
changelogs\fragments\75824-copy-remove-deprecated-thirsty-alias.yml,2,2
test\units\modules\test_async_wrapper.py,2,38
test\lib\ansible_test\_internal\compat\packaging.py,2,13
test\integration\targets\handler_race\roles\random_sleep\tasks\main.yml,2,6
test\integration\targets\incidental_inventory_aws_ec2\runme.sh,2,18
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_networking_information.task.yaml,2,4
test\sanity\code-smell\ansible-requirements.json,2,7
test\lib\ansible_test\_internal\cli\commands\integration\network.py,2,57
test\integration\targets\changed_when\tasks\main.yml,2,44
lib\ansible\plugins\inventory\yaml.py,2,136
test\lib\ansible_test\_internal\bootstrap.py,2,62
test\lib\ansible_test\_data\playbooks\posix_hosts_restore.yml,2,10
test\units\_vendor\test_vendor.py,2,44
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Retrieve_the_memory_information_from_the_VM.task.yaml,2,4
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\List_the_cdrom_devices_on_the_guest.task.yaml,2,4
test\units\module_utils\basic\test_set_mode_if_different.py,2,130
test\lib\ansible_test\_internal\git.py,2,60
test\integration\targets\unarchive\tasks\test_tar.yml,2,28
test\integration\targets\set_stats\test_aggregate.yml,2,12
test\integration\targets\ansible-galaxy\cleanup.yml,2,18
lib\ansible\plugins\netconf\__init__.py,2,131
test\sanity\code-smell\package-data.json,2,5
examples\scripts\my_test_facts.py,2,57
lib\ansible\module_utils\common\network.py,2,96
test\integration\targets\blockinfile\tasks\diff.yml,2,16
test\integration\targets\binary_modules\roles\test_binary_modules\tasks\main.yml,2,43
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Turn_the_power_of_the_VM_on.task.yaml,2,4
lib\ansible\compat\selectors\__init__.py,2,11
test\lib\ansible_test\_util\controller\sanity\code-smell\no-dict-iteritems.py,2,13
test\units\module_utils\common\warnings\test_warn.py,2,42
test\sanity\code-smell\ansible-test-future-boilerplate.json,2,10
test\integration\targets\set_stats\runme.sh,2,6
lib\ansible\galaxy\dependency_resolution\errors.py,2,6
test\lib\ansible_test\_internal\provisioning.py,2,128
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Create_a_VM.task.yaml,2,14
test\integration\targets\lineinfile\tasks\test_string01.yml,2,115
test\lib\ansible_test\_internal\commands\integration\network.py,2,54
test\units\module_utils\facts\hardware\linux_data.py,2,474
test\support\integration\plugins\module_utils\ec2.py,2,439
test\units\module_utils\urls\test_prepare_multipart.py,2,77
test\units\modules\test_known_hosts.py,2,96
test\integration\targets\ansible-galaxy-collection-scm\tasks\individual_collection_repo.yml,2,14
test\integration\targets\get_url\tasks\use_gssapi.yml,2,39
test\integration\targets\ansible-galaxy-collection-scm\tasks\setup_multi_collection_repo.yml,2,61
test\integration\targets\ansible-doc\roles\test_role1\meta\main.yml,2,8
test\integration\targets\incidental_inventory_docker_swarm\playbooks\swarm_cleanup.yml,2,18
test\integration\targets\setup_cron\tasks\main.yml,2,83
test\integration\targets\ansible-galaxy-collection-scm\templates\source_and_name.yml,2,3
test\integration\targets\ansible-runner\tasks\setup.yml,2,6
test\units\mock\loader.py,2,73
test\integration\targets\collections\redirected.statichost.yml,2,2
test\lib\ansible_test\_internal\commands\integration\cloud\scaleway.py,2,36
test\integration\targets\pip\vars\main.yml,2,13
test\integration\targets\git\tasks\missing_hostkey_acceptnew.yml,2,66
test\lib\ansible_test\_util\controller\sanity\code-smell\replace-urlopen.py,2,13
test\lib\ansible_test\_util\controller\sanity\code-smell\no-smart-quotes.py,2,18
test\lib\ansible_test\_internal\commands\integration\cloud\opennebula.py,2,40
test\units\module_utils\common\arg_spec\test_validate_invalid.py,2,112
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Get_guest_filesystem_information.task.yaml,2,8
test\integration\targets\inventory\extra_vars_constructed.yml,2,5
test\integration\targets\filter_core\runme.sh,2,4
test\lib\ansible_test\_internal\commands\integration\cloud\digitalocean.py,2,35
test\lib\ansible_test\_internal\commands\sanity\sanity_docs.py,2,41
test\integration\targets\lookup_template\tasks\main.yml,2,20
test\units\module_utils\parsing\test_convert_bool.py,2,37
lib\ansible\plugins\inventory\advanced_host_list.py,2,42
lib\ansible\plugins\action\add_host.py,2,55
test\units\parsing\yaml\test_dumper.py,2,70
test\integration\targets\yaml_parsing\tasks\main.yml,2,30
test\integration\targets\setup_paramiko\uninstall.yml,2,21
test\integration\targets\script\tasks\main.yml,2,170
test\integration\targets\dnf\tasks\filters_check_mode.yml,2,104
test\units\playbook\test_play_context.py,2,69
test\support\windows-integration\plugins\modules\win_get_url.ps1,2,202
test\integration\targets\blockinfile\tasks\insertafter.yml,2,33
test\units\module_utils\facts\test_facts.py,2,450
test\units\module_utils\facts\system\distribution\test_parse_distribution_file_ClearLinux.py,2,31
lib\ansible\module_utils\facts\hardware\freebsd.py,2,166
docs\docsite\rst\scenario_guides\vmware_rest_scenarios\task_outputs\Attach_an_ISO_image_to_a_guest_VM.task.yaml,2,12
test\integration\targets\ansible-galaxy-collection\tasks\list.yml,2,110
test\units\module_utils\facts\virtual\test_linux.py,2,35
test\lib\ansible_test\_internal\pypi_proxy.py,2,121
test\integration\targets\collections\cache.statichost.yml,2,6
test\integration\targets\ansible-galaxy-collection-scm\tasks\setup_recursive_scm_dependency.yml,2,29
test\integration\targets\git\tasks\missing_hostkey.yml,2,53
test\integration\targets\connection\test.sh,2,15
test\integration\targets\ansible-galaxy-collection\library\reset_pulp.py,2,150
test\integration\targets\unarchive\tasks\test_tar_gz_owner_group.yml,2,43
test\integration\targets\setup_paramiko\install-RedHat-8-python-3.yml,2,8
lib\ansible\plugins\action\set_fact.py,2,34
test\integration\targets\ansible-test\ansible_collections\ns\col\plugins\modules\hello.py,2,33
test\lib\ansible_test\_util\controller\sanity\validate-modules\validate_modules\ps_argspec.ps1,2,81
test\units\module_utils\urls\test_channel_binding.py,2,63
test\lib\ansible_test\_data\playbooks\windows_hosts_restore.ps1,2,24
lib\ansible\module_utils\compat\selinux.py,2,75
test\lib\ansible_test\_data\playbooks\windows_coverage_setup.yml,2,17
test\integration\targets\apt_key\tasks\apt_key_binary.yml,2,10
